ID,type,q_place_1,q_place_type_1,parent_hierarchy1,hierarchy_types_1,places 2,places 3,places 4,places 5,places 6,places 7
2015.nationals.5.3.lightning.3.7,,Lima,national capitals,South America,continents,,,,,,
2015.nationals.5.4.1,,Baltimore,cities,North and Central America,continents,,,,,,
2015.nationals.5.4.2,tossup,New Zealand,primary political entities,Oceania,continents,,,,,,
2015.nationals.5.4.3,tossup,Germany,primary political entities,Europe,continents,Cambridge,,,,,
2015.nationals.5.4.4,,New Jersey,states (political divisions),North and Central America,continents,,,,,,
2015.nationals.5.4.6,tossup,India,primary political entities,Asia,continents,,,,,,
2015.nationals.5.4.7,tossup,South Africa,primary political entities,Africa,continents,Oslo,Stockholm,,,,
2015.nationals.5.4.8,tossup,United States,primary political entities,North and Central America,continents,,,,,,
2015.nationals.5.extra.1,,San Antonio,manufacturing centers,North and Central America,continents,,,,,,
2021.c.1.1.5,tossup,United States,primary political entities,North and Central America,continents,Talleyrand,U.S.,Louisiana,the United States,,
2021.c.1.1.7,,Trabzon,educational centers (buildings),Asia,continents,,,,,,
2021.c.1.1.8,tossup,France,primary political entities,Europe,continents,Argentina,,,,,
2021.c.1.1.10,tossup,Spain,primary political entities,Europe,continents,Baetis,Bibroci,Britannia,Alesia,,
2021.c.1.2.1,tossup + bonus,Germany,primary political entities,Europe,continents,North Africa,Sicily,Italy,,,
2021.c.1.2.2,,Delhi,national capitals,Asia,continents,,,,,,
2021.c.1.2.3,,Vermont,states (political divisions),North and Central America,continents,,,,,,
2021.c.1.2.5,tossup + bonus,United States,primary political entities,North and Central America,continents,,,,,,
2021.c.1.2.6,tossup + bonus,Spain,primary political entities,Europe,continents,Cuba,Veracruz,Tenochtitlan,the Aztec Empire,,
2021.c.1.2.7,tossup + bonus,United States,primary political entities,North and Central America,continents,,,,,,
2021.c.1.2.8,,Las Vegas,resort centers,North and Central America,continents,,,,,,
2021.c.1.3.lightning.1.1,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2021.c.1.3.lightning.1.3,lightning,Laos,primary political entities,Asia,continents,,,,,,
2021.c.1.3.lightning.1.6,lightning,United States,primary political entities,North and Central America,continents,,,,,,
2021.c.1.3.lightning.1.7,lightning,United States,primary political entities,North and Central America,continents,,,,,,
