Type	Rank	Freq	Range	NormFreq	NormRange
of the	1	32	21	9934.803	0.184
name this	3	29	29	9003.415	0.254
in the	4	22	17	6830.177	0.149
this woman	5	21	11	6519.714	0.096
of this	9	13	7	4036.014	0.061
who was	9	13	13	4036.014	0.114
this person	11	12	8	3725.551	0.070
from the	12	9	9	2794.163	0.079
in a	12	9	8	2794.163	0.070
this name	12	9	2	2794.163	0.018
this deity	15	8	4	2483.701	0.035
was the	15	8	8	2483.701	0.070
her husband	17	7	6	2173.238	0.053
to the	17	7	6	2173.238	0.053
at the	19	6	5	1862.776	0.044
in this	19	6	6	1862.776	0.053
of a	19	6	6	1862.776	0.053
of her	19	6	6	1862.776	0.053
on the	19	6	5	1862.776	0.044
ruler of	19	6	2	1862.776	0.018
the first	19	6	5	1862.776	0.044
this leader	19	6	4	1862.776	0.035
with her	19	6	6	1862.776	0.053
by this	28	5	5	1552.313	0.044
city of	28	5	5	1552.313	0.044
new york	28	5	4	1552.313	0.035
the world	28	5	5	1552.313	0.044
this politician	28	5	3	1552.313	0.026
this ruler	28	5	5	1552.313	0.044
and the	34	4	4	1241.850	0.035
during the	34	4	4	1241.850	0.035
first female	34	4	3	1241.850	0.026
goddess of	34	4	4	1241.850	0.035
in an	34	4	4	1241.850	0.035
this goddess	34	4	3	1241.850	0.026
to her	34	4	4	1241.850	0.035
woman who	34	4	4	1241.850	0.035
a ruler	43	3	2	931.388	0.018
after this	43	3	3	931.388	0.026
along with	43	3	3	931.388	0.026
and her	43	3	3	931.388	0.026
anne hutchinson	43	3	3	931.388	0.026
as the	43	3	3	931.388	0.026
female secretary	43	3	3	931.388	0.026
is the	43	3	3	931.388	0.026
led the	43	3	3	931.388	0.026
mother of	43	3	3	931.388	0.026
of his	43	3	3	931.388	0.026
of these	43	3	1	931.388	0.009
one of	43	3	2	931.388	0.018
person was	43	3	3	931.388	0.026
presided over	43	3	3	931.388	0.026
secretary of	43	3	3	931.388	0.026
she was	43	3	3	931.388	0.026
the city	43	3	3	931.388	0.026
the great	43	3	3	931.388	0.026
the s	43	3	3	931.388	0.026
these beings	43	3	1	931.388	0.009
this author	43	3	2	931.388	0.018
this president	43	3	1	931.388	0.009
this scientist	43	3	1	931.388	0.009
to be	43	3	3	931.388	0.026
to have	43	3	3	931.388	0.026
to this	43	3	3	931.388	0.026
u s	43	3	3	931.388	0.026
university of	43	3	3	931.388	0.026
wife of	43	3	3	931.388	0.026
woman s	43	3	3	931.388	0.026
a relative	77	2	2	620.925	0.018
a temple	77	2	2	620.925	0.018
after her	77	2	2	620.925	0.018
after the	77	2	2	620.925	0.018
after which	77	2	2	620.925	0.018
an ancient	77	2	1	620.925	0.009
an army	77	2	1	620.925	0.009
and his	77	2	2	620.925	0.018
and she	77	2	2	620.925	0.018
and this	77	2	2	620.925	0.018
and was	77	2	2	620.925	0.018
anne boleyn	77	2	2	620.925	0.018
as an	77	2	2	620.925	0.018
at this	77	2	2	620.925	0.018
based in	77	2	2	620.925	0.018
battle of	77	2	2	620.925	0.018
bay colony	77	2	2	620.925	0.018
before being	77	2	2	620.925	0.018
being defeated	77	2	2	620.925	0.018
bill clinton	77	2	2	620.925	0.018
by her	77	2	2	620.925	0.018
by the	77	2	2	620.925	0.018
by which	77	2	2	620.925	0.018
