ID,type,q_place_1,q_place_type_1,parent_hierarchy_1,hierarchy_types_1,q_place_2,q_place_type_2,parent_hierarchy_2,hierarchy_types_2,q_place_3plus,q_place_type_3,parent_hierarchy_3,hierarchy_types_3
2014.c.1.3.lightning.1.7,,,,,constitutional monarchies,,,,,,,,
2014.c.1.3.lightning.1.7,,,,Europe,continents,,,,,,,,
2014.c.1.3.lightning.1.7,,,,World,areas (geography),,,,,,,,
2014.c.1.3.lightning.1.7,,,,,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.1.7,,,,,,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,,,,,,,,,
2014.c.1.3.lightning.1.7,,,,,,,,,,,,,
2014.c.1.3.lightning.1.8,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.2.1,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.2.2,lightning,Germany,primary political entities,Europe,continents,,,,,,,,
2014.c.1.3.lightning.2.2,,,republics,World,areas (geography),,,,,,,,
2014.c.1.3.lightning.2.2,,,nations,,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.2.2,,,independent political entities,,,,,,,,,,
2014.c.1.3.lightning.2.2,,,independent sovereign nations,,,,,,,,,,
2014.c.1.3.lightning.2.3,lightning,Turkey,primary political entities,Asia,continents,,,,,,,,
2014.c.1.3.lightning.2.3,,,republics,World,areas (geography),,,,,,,,
2014.c.1.3.lightning.2.3,,,nations,,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.2.3,,,independent political entities,,,,,,,,,,
2014.c.1.3.lightning.2.3,,,independent sovereign nations,,,,,,,,,,
2014.c.1.3.lightning.2.3,,,sultanates (administrative bodies),,,,,,,,,,
2014.c.1.3.lightning.2.4,lightning,Moscow,inhabited places,Moscow,,,,,,,,,
2014.c.1.3.lightning.2.4,,,capitals (seats of government),Russia,primary political entities,,,,,,,,
2014.c.1.3.lightning.2.4,,,,,republics,,,,,,,,
2014.c.1.3.lightning.2.4,,,,,nations,,,,,,,,
2014.c.1.3.lightning.2.4,,,,,independent political entities,,,,,,,,
2014.c.1.3.lightning.2.4,,,cities,Asia,continents,,,,,,,,
2014.c.1.3.lightning.2.4,,,manufacturing centers,World,areas (geography),,,,,,,,
2014.c.1.3.lightning.2.4,,,national capitals,,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.2.4,,,commercial centers (inhabited places),,,,,,,,,,
2014.c.1.3.lightning.2.4,,,regional capitals,,,,,,,,,,
2014.c.1.3.lightning.2.4,,,cultural centers (buildings),,,,,,,,,,
2014.c.1.3.lightning.2.4,,,industrial centers (inhabited places),,,,,,,,,,
2014.c.1.3.lightning.2.4,,,transportation centers (inhabited places),,,,,,,,,,
2014.c.1.3.lightning.2.5,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.2.6,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.2.7,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.2.8,lightning,Serbia,primary political entities,Europe,continents,,,,,,,,
2014.c.1.3.lightning.2.8,,,first level subdivisions (political entities),World,areas (geography),,,,,,,,
2014.c.1.3.lightning.2.8,,,republics,,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.2.8,,,nations,,,,,,,,,,
2014.c.1.3.lightning.2.8,,,independent political entities,,,,,,,,,,
2014.c.1.3.lightning.3.1,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.3.2,lightning,Chicago,inhabited places,Cook,,,,,,,,,
2014.c.1.3.lightning.3.2,,,county seats,Illinois,,,,,,,,,
2014.c.1.3.lightning.3.2,,,inland ports,United States,primary political entities,,,,,,,,
2014.c.1.3.lightning.3.2,,,,,nations,,,,,,,,
2014.c.1.3.lightning.3.2,,,,,independent political entities,,,,,,,,
2014.c.1.3.lightning.3.2,,,,,independent sovereign nations,,,,,,,,
2014.c.1.3.lightning.3.2,,,cities,North and Central America,continents,,,,,,,,
2014.c.1.3.lightning.3.2,,,commercial centers (inhabited places),World,areas (geography),,,,,,,,
2014.c.1.3.lightning.3.2,,,cultural centers (buildings),,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.3.2,,,political centers,,,,,,,,,,
2014.c.1.3.lightning.3.2,,,industrial centers (inhabited places),,,,,,,,,,
2014.c.1.3.lightning.3.2,,,transportation centers (inhabited places),,,,,,,,,,
2014.c.1.3.lightning.3.2,,,scientific centers (inhabited places),,,,,,,,,,
2014.c.1.3.lightning.3.2,,,university centers (inhabited places),,,,,,,,,,
2014.c.1.3.lightning.3.3,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.3.4,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.3.5,lightning,California,first level subdivisions (political entities),United States,primary political entities,,,,,,,,
2014.c.1.3.lightning.3.5,,,,,nations,,,,,,,,
2014.c.1.3.lightning.3.5,,,,,independent political entities,,,,,,,,
2014.c.1.3.lightning.3.5,,,,,independent sovereign nations,,,,,,,,
2014.c.1.3.lightning.3.5,,,states (political divisions),North and Central America,continents,,,,,,,,
2014.c.1.3.lightning.3.5,,,,World,areas (geography),,,,,,,,
2014.c.1.3.lightning.3.5,,,,,facets (controlled vocabulary),,,,,,,,
2014.c.1.3.lightning.3.6,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.3.7,lightning,,,,,,,,,,,,
2014.c.1.3.lightning.3.8,lightning,District of Columbia,first level subdivisions (political entities),United States,primary political entities,,,,,,,,
2014.c.1.3.lightning.3.8,,,,,nations,,,,,,,,
2014.c.1.3.lightning.3.8,,,,,independent political entities,,,,,,,,
2014.c.1.3.lightning.3.8,,,,,independent sovereign nations,,,,,,,,
2014.c.1.3.lightning.3.8,,,national districts,North and Central America,continents,,,,,,,,
2014.c.1.3.lightning.3.8,,,,World,areas (geography),,,,,,,,
2014.c.1.3.lightning.3.8,,,,,facets (controlled vocabulary),,,,,,,,
2014.c.1.4.1,tossup,Iraq,primary political entities,Asia,continents,Iran,primary political entities,Asia,continents,North Korea,primary political entities,Asia,continents
2014.c.1.4.1,,,,,,,,,,,republics,World,areas (geography)
2014.c.1.4.1,,,,,,,,,,,nations,,facets (controlled vocabulary)
2014.c.1.4.1,,,,,,,,,,,independent political entities,,
2014.c.1.4.1,,,,,,,,,,,independent sovereign nations,,
2014.c.1.4.1,,,,,,,,,,,controlled regions,,
2014.c.1.4.1,,,,,,,republics,World,areas (geography),Germany,primary political entities,Europe,continents
2014.c.1.4.1,,,,,,,,,,,republics,World,areas (geography)
2014.c.1.4.1,,,,,,,,,,,nations,,facets (controlled vocabulary)
2014.c.1.4.1,,,,,,,,,,,independent political entities,,
2014.c.1.4.1,,,,,,,,,,,independent sovereign nations,,
2014.c.1.4.1,,,,,,,empires (sovereign states),,facets (controlled vocabulary),Italy,primary political entities,Europe,continents
2014.c.1.4.1,,,,,,,,,,,inhabited regions,World,areas (geography)
2014.c.1.4.1,,,,,,,,,,,republics,,facets (controlled vocabulary)
2014.c.1.4.1,,,,,,,,,,,nations,,
2014.c.1.4.1,,,,,,,,,,,independent political entities,,
2014.c.1.4.1,,,,,,,,,,,independent sovereign nations,,
2014.c.1.4.1,,,,,,,,,,,dictatorships,,
2014.c.1.4.1,,,,,,,,,,,kingdoms (political administrative bodies),,
2014.c.1.4.1,,,,,,,nations,,,Japan,primary political entities,Asia,continents
2014.c.1.4.1,,,,,,,independent political entities,,,,island nations,World,areas (geography)
2014.c.1.4.1,,,,,,,independent sovereign nations,,,,empires (sovereign states),,facets (controlled vocabulary)
2014.c.1.4.1,,Iraq,republics,World,areas (geography),,,,,,nations,,
2014.c.1.4.1,,,nations,,facets (controlled vocabulary),,,,,,independent political entities,,
2014.c.1.4.1,,,independent political entities,,,,,,,,independent sovereign nations,,
2014.c.1.4.1,,,independent sovereign nations,,,,,,,,constitutional monarchies,,
2014.c.1.4.1,,,kingdoms (political administrative bodies),,,,,,,,,,
2014.c.1.4.1,,,territories,,,,,,,,,,
2014.c.1.4.2,tossup,,,,,,,,,,,,
2014.c.1.4.3,tossup,,,,,,,,,,,,
2014.c.1.4.4,tossup,China,primary political entities,Asia,continents,,,,,,,,
2014.c.1.4.4,,,former primary political entities,World,areas (geography),,,,,,,,
2014.c.1.4.4,,,republics,,facets (controlled vocabulary),,,,,,,,
2014.c.1.4.4,,,empires (sovereign states),,,,,,,,,,
2014.c.1.4.4,,,nations,,,,,,,,,,
2014.c.1.4.4,,,independent political entities,,,,,,,,,,
2014.c.1.4.5,tossup,Germany,primary political entities,Europe,continents,,,,,,,,
2014.c.1.4.5,,,republics,World,areas (geography),,,,,,,,
2014.c.1.4.5,,,nations,,facets (controlled vocabulary),,,,,,,,
2014.c.1.4.5,,,independent political entities,,,,,,,,,,
2014.c.1.4.5,,,independent sovereign nations,,,,,,,,,,
2014.c.1.4.6,tossup,,,,,,,,,,,,
2014.c.1.4.7,tossup,,,,,Azincourt,inhabited places,Hauts-de-France,,,,,
2014.c.1.4.7,,,,,,,battlefields,France,primary political entities,,,,
2014.c.1.4.7,,,,,,,towns,,republics,,,,
2014.c.1.4.7,,,,,,,,,empires (sovereign states),,,,
2014.c.1.4.7,,,,,,,,,nations,,,,
2014.c.1.4.7,,,,,,,,,independent political entities,,,,
2014.c.1.4.7,,,,,,,,,independent sovereign nations,,,,
2014.c.1.4.7,,,,,,,,,monarchies,,,,
2014.c.1.4.7,,,,,,,,Europe,continents,,,,
2014.c.1.4.7,,,,,,,,World,areas (geography),,,,
2014.c.1.4.7,,,,,,,,,facets (controlled vocabulary),,,,
2014.c.1.4.8,tossup,,,,,,,,,,,,
2014.c.1.extra.1,tossup + bonus,Buffalo,inhabited places,Erie,,,,,,,,,
2014.c.1.extra.1,,,county seats,New York,,,,,,,,,
2014.c.1.extra.1,,,cities,United States,primary political entities,,,,,,,,
2014.c.1.extra.1,,,,,nations,,,,,,,,
2014.c.1.extra.1,,,,,independent political entities,,,,,,,,
2014.c.1.extra.1,,,,,independent sovereign nations,,,,,,,,
2014.c.1.extra.1,,,industrial centers (inhabited places),North and Central America,continents,,,,,,,,
2014.c.1.extra.1,,,transportation centers (inhabited places),World,areas (geography),,,,,,,,
2014.c.1.extra.1,,,ports (settlements),,facets (controlled vocabulary),,,,,,,,
2014.c.1.extra.1,,,shipbuilding centers,,,,,,,,,,
2014.c.1.extra.1,,,university centers (inhabited places),,,,,,,,,,
2014.c.2.1.1,tossup,Begram,inhabited places,Parwān,,,,,,Tibet,first level subdivisions (political entities),China,primary political entities
2014.c.2.1.1,,,,,,,,,,,,,former primary political entities
2014.c.2.1.1,,,,,,,,,,,,,republics
2014.c.2.1.1,,,,,,,,,,,,,empires (sovereign states)
2014.c.2.1.1,,,,,,,,,,,,,nations
2014.c.2.1.1,,,,,,,,,,,,,independent political entities
2014.c.2.1.1,,Begram,cities,Afghanistan,primary political entities,,,,,,autonomous areas,Asia,continents
2014.c.2.1.1,,,,,inhabited places,,,,,,autonomous regions,World,areas (geography)
2014.c.2.1.1,,,,,republics,,,,,,,,facets (controlled vocabulary)
2014.c.2.1.1,,,,,nations,,,,,,,,
2014.c.2.1.1,,,,,independent political entities,,,,,,,,
2014.c.2.1.1,,,,,independent sovereign nations,,,,,,,,
2014.c.2.1.1,,,,,constitutional monarchies,,,,,,,,
2014.c.2.1.1,,,,,provinces,,,,,,,,
2014.c.2.1.1,,,Achaemenid,Asia,continents,,,,,,,,
2014.c.2.1.1,,,towns,World,areas (geography),,,,,,,,
2014.c.2.1.1,,,,,facets (controlled vocabulary),,,,,,,,
2014.c.2.1.2,tossup,Maryland,first level subdivisions (political entities),United States,primary political entities,,,,,,,,
2014.c.2.1.2,,,,,nations,,,,,,,,
2014.c.2.1.2,,,,,independent political entities,,,,,,,,
2014.c.2.1.2,,,,,independent sovereign nations,,,,,,,,
2014.c.2.1.2,,,states (political divisions),North and Central America,continents,,,,,,,,
2014.c.2.1.2,,,,World,areas (geography),,,,,,,,
2014.c.2.1.2,,,,,facets (controlled vocabulary),,,,,,,,
2014.c.2.1.2,,,,,,,,,,,,,
2014.c.2.1.2,,,,,,,,,,,,,
2014.c.2.1.2,,,,,,,,,,,,,
2014.c.2.1.3,tossup,,,,,Russia,primary political entities,Asia,continents,,,,
2014.c.2.1.3,,,,,,,republics,World,areas (geography),,,,
2014.c.2.1.3,,,,,,,nations,,facets (controlled vocabulary),,,,
2014.c.2.1.3,,,,,,,independent political entities,,,,,,
2014.c.2.1.4,tossup,,,,,,,,,,,,
2014.c.2.1.5,tossup,France,primary political entities,Europe,continents,,,,,,,,
2014.c.2.1.5,,,republics,World,areas (geography),,,,,,,,
2014.c.2.1.5,,,empires (sovereign states),,facets (controlled vocabulary),,,,,,,,
2014.c.2.1.5,,,nations,,,,,,,,,,
2014.c.2.1.5,,,independent political entities,,,,,,,,,,
2014.c.2.1.5,,,independent sovereign nations,,,,,,,,,,
2014.c.2.1.5,,,monarchies,,,,,,,,,,
2014.c.2.1.6,tossup,,,,,,,,,,,,
2014.c.2.1.7,tossup,United Kingdom,primary political entities,Europe,continents,,,,,,,,
2014.c.2.1.7,,,nations,World,areas (geography),,,,,,,,
2014.c.2.1.7,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2014.c.2.1.7,,,independent sovereign nations,,,,,,,,,,
2014.c.2.1.7,,,constitutional monarchies,,,,,,,,,,
2014.c.2.1.8,tossup,,,,,,,,,,,,
2014.c.2.1.9,tossup,,,,,,,,,,,,
2014.c.2.1.10,tossup,Ireland,primary political entities,Europe,continents,,,,,,,,
2014.c.2.1.10,,,nations,World,areas (geography),,,,,,,,
2014.c.2.1.10,,,independent political entities,,facets (controlled vocabulary),,,,,,,,
2014.c.2.1.10,,,dominions,,,,,,,,,,
2014.c.2.1.10,,,independent sovereign nations,,,,,,,,,,
2014.c.2.2.1,tossup + bonus,,,,,,,,,,,,
2014.c.2.2.2,tossup + bonus,,,,,,,,,,,,
2014.c.2.2.3,tossup + bonus,Roman Empire,former primary political entities,World,areas (geography),,,,,,,,
2014.c.2.2.3,,,historical regions,,facets (controlled vocabulary),,,,,,,,
2014.c.2.2.3,,,empires (sovereign states),,,,,,,,,,
2014.c.2.2.3,,,political entities,,,,,,,,,,
2014.c.2.2.4,tossup + bonus,,,,,,,,,,,,
2014.c.2.2.5,tossup + bonus,,,,,,,,,,,,
